month,energy_share_pct
2016-01-01,0.07569373623904352
2016-02-01,0.07499667903838926
2016-03-01,0.07502691572146652
2016-04-01,0.07485551766254049
2016-05-01,0.0734953414257358
2016-06-01,0.07449715436063041
2016-07-01,0.07382954942363565
2016-08-01,0.07577075049175806
2016-09-01,0.07649000893683608
2016-10-01,0.07561864192554361
2016-11-01,0.07457896970642795
2016-12-01,0.07610881752002431
2017-01-01,0.0766254343937271
2017-02-01,0.0765366426847208
2017-03-01,0.07831928367194493
2017-04-01,0.0773500380142355
2017-05-01,0.0758957233070642
2017-06-01,0.07588099565979439
2017-07-01,0.07416893300205628
2017-08-01,0.0739756333017692
2017-09-01,0.07505772774178626
2017-10-01,0.07616104527569068
2017-11-01,0.07621500391940694
2017-12-01,0.07692266531600013
2018-01-01,0.07836170081180381
2018-02-01,0.07941761157386382
2018-03-01,0.08318101121362163
2018-04-01,0.084844221941971
2018-05-01,0.084388075305063
2018-06-01,0.08567915165626902
2018-07-01,0.08678223610747036
2018-08-01,0.08586559313783743
2018-09-01,0.08545963702156013
2018-10-01,0.08612457341577165
2018-11-01,0.08599798671152689
2018-12-01,0.08576105205232484
2019-01-01,0.08858578518212369
2019-02-01,0.08934175711947184
2019-03-01,0.09129384295704375
2019-04-01,0.09203107341496246
2019-05-01,0.09423506007993884
2019-06-01,0.09441374468135671
2019-07-01,0.09428881446760712
2019-08-01,0.09374865846147057
2019-09-01,0.09259767285002057
2019-10-01,0.09377361628003797
2019-11-01,0.09434239280696363
2019-12-01,0.09484094610788776
2020-01-01,0.09630741937497517
2020-02-01,0.09630236448423662
2020-03-01,0.0976267305713727
2020-04-01,0.0979280392724881
2020-05-01,0.09660291578232727
2020-06-01,0.09706673721379347
2020-07-01,0.09579328972859148
2020-08-01,0.09596418250589979
2020-09-01,0.0965693833204537
2020-10-01,0.09741902680700791
2020-11-01,0.0970409096849111
2020-12-01,0.09646225098213194
2021-01-01,0.0982610102711287
2021-02-01,0.0974668744070783
2021-03-01,0.09872245921604289
2021-04-01,0.09991854706321249
2021-05-01,0.09980367429974153
2021-06-01,0.10291973972269115
2021-07-01,0.10206941849327797
2021-08-01,0.10297766451478728
2021-09-01,0.10311981200809393
2021-10-01,0.10476710193174525
2021-11-01,0.10663995831608857
2021-12-01,0.10615864837936956
2022-01-01,0.10817255571459185
2022-02-01,0.10896125370884577
2022-03-01,0.11029868978665264
2022-04-01,0.11156933701340879
2022-05-01,0.11318119221257278
2022-06-01,0.11425482833322002
2022-07-01,0.11432006125348346
2022-08-01,0.11570883094520658
2022-09-01,0.11628551957062438
2022-10-01,0.11733441374527426
2022-11-01,0.11907493750779066
2022-12-01,0.11981311105413336
2023-01-01,0.12153659269192907
2023-02-01,0.12244248870328499
2023-03-01,0.12361499104920755
2023-04-01,0.12314610506461171
2023-05-01,0.1229331166747381
2023-06-01,0.12485788369301729
2023-07-01,0.12655614684044575
2023-08-01,0.12707614498413114
2023-09-01,0.12734515248868314
2023-10-01,0.12595385994123665
2023-11-01,0.1261551607259716
2023-12-01,0.12727004683438448
2024-01-01,0.1285899738399979
2024-02-01,0.1278261236404911
2024-03-01,0.13011568329722326
2024-04-01,0.1316381852777952
2024-05-01,0.135084529306947
2024-06-01,0.1376596855173568
2024-07-01,0.13764529375839832
2024-08-01,0.13822653206393218
2024-09-01,0.13959266915901203
2024-10-01,0.14318374289608568
2024-11-01,0.14160448781936946
2024-12-01,0.14263084326796852
2025-01-01,0.14162652791841926
2025-02-01,0.14171693197166657
2025-03-01,0.14407964075265034
2025-04-01,0.14571851177583223
2025-05-01,0.14545695920012455
2025-06-01,0.14697066988611776
2025-07-01,0.15067820820106767
2025-08-01,0.1504180186317072
